"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BUZZER1","1","MLT-7525","","","Excluded from board","easyeda2kicad:BUZ-SMD_4P-L7.5-W7.5-P7.59-TL","https://lcsc.com/product-detail/Buzzers_MLT-7525_C95299.html"
"C1,C8","2","1uF","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A105KA5NQNC_1uF-105-10-25V_C52923.html,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM155R60J105KE19D_1uF-105-10-6-3V_C15684.html"
"C2,C3,C4,C9,C11,C12,C13,C14,C40","9","100nF","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A104KA5NNNC_100nF-104-10-25V_C100072.html,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05B104KO5NNNC_100nF-104-10-16V_C1525.html,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM155R71H103KA88D_10nF-103-10-50V_C77019.html"
"C5,C20,C35","3","100nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf"
"C6,C7","2","33pF","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_33pF-330-5-50V_C1562.html"
"C10","1","10nF","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM155R71H103KA88D_10nF-103-10-50V_C77019.html"
"C15","1","4.7uF","","","","easyeda2kicad:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A475KAQNNNE_4-7uF-475-10-25V_C1779.html"
"C16,C17,C18,C19","4","1uF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf"
"C21","1","10uF","","","","easyeda2kicad:C1206",""
"C22,C23,C25,C26,C27,C29,C30,C31","8","100nF","","","Excluded from board","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf"
"C24","1","10uF","","","Excluded from board","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf"
"C28","1","1uF","","","Excluded from board","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf"
"C32,C33","2","10uF","","","","PCM_JLCPCB:C_0805","https://www.lcsc.com/datasheet/lcsc_datasheet_2411041759_Murata-Electronics-GRM21BR61H106KE43L_C440198.pdf"
"C34","1","10nF","","","","PCM_JLCPCB:C_0402","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf"
"C36","1","33nF","","","","PCM_JLCPCB:C_0603","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10B333KB8NNNC_C21117.pdf"
"C37","1","100nF 25v","","","","easyeda2kicad:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL05A104KA5NNNC_100nF-104-10-25V_C100072.html"
"C38,C39","2","22uF","","","","easyeda2kicad:C1206","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM31CR71A226KE15L_22uF-226-10-10V_C91604.html"
